VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
579,881,1,3,937,66,837,14,610,44,176,88,113,4,1.47E-05,5.78E+01,1.08E+04,6.73E+06,5.84E+01,1.44E+01
258,735,1,1,888,66,617,15,531,42,179,87,194,19,2.15E-04,5.14E+01,2.38E+05,6.14E+07,8.78E+01,4.49E+01
238,818,2,2,873,68,833,20,600,92,203,88,113,7,5.11E-05,5.30E+01,4.06E+04,1.28E+07,8.57E+01,4.93E+01
305,749,1,1,932,71,572,8,602,45,162,83,184,8,9.92E-05,5.82E+01,6.32E+04,3.09E+07,7.41E+01,5.10E+01
290,747,1,2,932,71,572,9,633,46,200,95,195,8,1.07E-04,6.01E+01,4.06E+04,3.95E+07,8.38E+01,4.41E+01
290,753,1,2,932,71,538,10,601,41,204,89,195,8,1.09E-04,6.04E+01,6.32E+04,4.80E+07,8.36E+01,4.30E+01
229,812,1,1,914,66,631,15,502,86,179,87,191,20,6.32E-05,3.58E+01,3.71E+05,1.98E+07,7.44E+01,5.13E+01
250,855,1,1,889,67,580,16,602,45,172,91,111,4,3.06E-05,3.78E+01,2.38E+05,1.28E+07,4.95E+01,1.10E+01
618,752,1,3,931,67,572,7,602,46,359,88,198,5,6.22E-05,5.85E+01,4.06E+04,3.09E+07,7.88E+01,4.14E+01
633,736,1,3,926,63,824,15,638,38,150,88,198,10,1.48E-04,6.09E+01,6.32E+04,6.14E+07,1.03E+02,4.07E+01
608,747,1,3,926,66,824,14,611,43,178,88,104,4,1.06E-04,5.87E+01,6.32E+04,4.80E+07,9.21E+01,4.17E+01
293,738,2,3,926,63,824,15,612,44,192,88,196,10,1.40E-04,5.94E+01,2.61E+04,3.95E+07,1.21E+02,3.72E+01
621,716,1,3,912,61,566,15,612,43,178,87,154,9,2.15E-04,6.02E+01,9.84E+04,1.81E+08,9.60E+01,3.28E+01
260,793,1,2,976,66,488,15,602,88,179,91,113,6,8.27E-05,5.63E+01,9.84E+04,3.95E+07,7.44E+01,4.46E+01
250,847,1,1,889,67,629,15,541,41,114,89,109,9,5.05E-05,5.49E+01,4.06E+04,1.63E+07,7.17E+01,2.55E+01
277,871,1,1,889,65,714,14,535,41,202,89,109,18,3.71E-05,4.87E+01,4.06E+04,1.05E+07,7.87E+01,5.04E+01
250,872,1,1,889,67,629,14,599,45,183,89,113,19,3.91E-05,4.97E+01,4.06E+04,1.05E+07,7.72E+01,4.90E+01
250,812,2,1,914,66,833,22,537,89,162,91,108,7,6.17E-05,5.35E+01,4.06E+04,1.63E+07,7.84E+01,4.94E+01
290,752,1,2,932,71,572,9,548,46,204,88,195,8,9.72E-05,5.86E+01,6.32E+04,3.95E+07,8.40E+01,4.43E+01
583,736,1,3,926,63,840,18,633,38,150,88,223,7,1.20E-04,3.61E+01,5.77E+05,3.95E+07,9.35E+01,3.78E+01
241,736,1,1,875,52,823,15,612,92,179,88,198,2,6.65E-05,3.39E+01,5.77E+05,2.54E+07,3.35E+01,8.28E+00
630,817,2,3,923,68,833,19,600,42,203,88,113,9,6.75E-05,5.66E+01,2.61E+04,1.28E+07,9.77E+01,4.79E+01
610,774,1,2,926,70,800,11,611,43,205,97,155,5,6.48E-05,6.06E+01,2.61E+04,2.54E+07,7.28E+01,4.77E+01
308,735,1,3,957,63,561,15,601,44,179,88,198,5,1.20E-04,2.92E+01,1.40E+06,3.09E+07,8.60E+01,3.24E+01
277,735,1,3,889,65,761,14,529,41,201,87,203,9,1.35E-04,5.97E+01,6.32E+04,7.48E+07,1.03E+02,3.29E+01
632,916,1,1,926,66,827,16,606,43,170,88,106,18,1.83E-05,4.73E+01,2.61E+04,4.32E+06,7.57E+01,2.62E+01
618,752,1,3,937,67,572,7,602,45,359,88,198,5,6.26E-05,5.87E+01,4.06E+04,3.09E+07,7.89E+01,4.12E+01
277,800,1,1,889,65,714,16,542,41,109,89,113,4,6.43E-05,3.83E+01,3.71E+05,2.54E+07,6.03E+01,1.74E+01
633,736,1,3,926,63,574,15,638,38,358,88,198,10,1.57E-04,6.20E+01,6.32E+04,1.16E+08,9.08E+01,2.57E+01
618,752,1,2,931,66,821,7,691,45,150,88,198,5,6.06E-05,6.00E+01,2.61E+04,1.98E+07,7.49E+01,5.28E+01
